TSPAN6
TNFRSF12A
TRAF3IP3
BCAR1
DCBLD2
NCKAP1
KIF26A
ACAP1
ARHGAP15
CTTN
GNA11
MFNG
MANBAL
CORO1A
TJP1
OLFM2
RASAL3
PIK3CG
MET
WASL
SH3D19
ERRFI1
CD48
SPINK4
NCKAP1L
SDC4
MTRR
X06.Sep
FAM78A
GMFG
SPIRE1
DOCK2
CTSL1
EHF
FAM129B
YAP1
MYOF
IQGAP1
ESCO1
CYR61
CD53
PRSS23
TEX30
FAM177A1
RPL22L1
DYNLT3
A2ML1
KATNAL2
PPIC
TM4SF1
NT5DC1
P2RY8
IKZF1
C7orf61
ARHGAP30
ZKSCAN4
PARVA
NRAP
S100A6
SNHG12
RCSD1
