TSPAN6
FUCA2
LASP1
CASP10
CFLAR
TFPI
CD38
KDM1A
MYCBP2
ITGAL
ITGA3
GGNBP2
TNFRSF12A
ALDH3B1
VPS41
SCIN
ARSD
CEACAM21
CD79B
JARID2
SPAG9
MGST1
REV3L
TRAF3IP3
GIPR
NISCH
BTK
ABHD5
MAP4K3
POLR3B
GPRC5A
WAS
SLC38A5
WWTR1
SAMD4A
DEF6
HSF2
TFB1M
RANBP3
STAP1
RFC1
MAT2B
PHF15
LCP2
TRIT1
CTNNA1
WDR37
POLR2B
GOPC
RSF1
CELF2
HEXB
BCAR1
FOXC1
ATP9A
GALC
NOP58
CYFIP2
TAB2
C4orf27
PCGF2
TRAF3IP2
DCBLD2
CROCC
HDAC7
NCKAP1
GUCY1B3
VMP1
TMEM161A
CTSA
SUGP2
SNX24
IPO5
WDR18
ERBB3
SPEN
CD84
ELOVL1
ZNRD1
LRRC40
ATP2B3
IFI35
LAPTM4A
RASGRP2
KCNAB2
NEDD4
PTPN21
OSBPL3
SLC12A3
DAZAP1
SLC6A15
TFRC
P4HA2
NFATC3
ACAP1
SIDT1
PVR
CLCN4
PPP2R3A
PICALM
NTN4
PTPLAD1
TUBE1
FNDC3B
FRYL
SEC31B
ARHGAP15
RBMS2
ICAM3
TOP2B
APBB1IP
MCCC1
N4BP2
EDN1
ITM2A
MID2
MEF2C
PTPRC
CDC14B
ATP8B1
ME2
ITGB5
ZNF671
APLP2
CTTN
EPDR1
LAT2
KHSRP
GNA11
EPB41L1
ARHGAP28
KDM2B
MLF2
LTBP4
FLT3LG
NLRP1
CECR1
OR1I1
MAP3K1
NUP188
SH2D3C
CWF19L1
IKZF5
POLRMT
IGF2.AS
SF3A1
MFNG
GGA1
NHP2L1
DEPDC5
KDELR3
CBY1
FBXO7
GTPBP1
HMGXB4
RBFOX2
SMCR7L
EIF3D
NCF4
CSF2RB
PMM1
MLC1
LGMN
TCL1A
VRK1
C14orf93
CCNB1IP1
ARHGAP5
ABHD12
KIF3B
MANBAL
CST3
PPP1R16B
ADNP2
MID1
PLS3
ASB9
CORO1A
CCL17
CYB5B
IL21R
CSK
CD276
KIAA1199
RPAP1
TJP1
LAPTM4B
SH2D4A
INTS10
MTMR9
MAP4K1
PEX11G
CD37
LYL1
RASAL3
DYRK1B
BBC3
MRPL4
NKG7
KXD1
FKBP8
PIK3CG
PON2
ZC3HAV1
CAV2
MET
ABHD11
COBL
WASL
USP42
C1GALT1
TMEM106B
GIMAP2
PTGR1
AKNA
PLGRKT
DOCK8
ELAVL2
PLEKHA1
GTPBP4
PIGL
C1QBP
BLMH
ICAM2
DUSP3
TNFAIP1
ZNF330
SH3D19
HTATIP2
CCND1
POU2AF1
CD69
SELPLG
BIN2
BCL7A
METAP2
MANSC1
LTBR
ARHGDIB
CHD4
GNB3
PTPN6
PAK1IP1
SMIM8
SASH1
ICK
MDN1
CAP2
WASF1
NR2E1
ZBTB24
PERP
SLC16A10
PHACTR2
EPM2A
MRPL2
SRF
LY86
ERBB2IP
MAN2A1
ST8SIA4
C5orf15
PPWD1
ATP6V0E1
ARL6
AMOTL2
RBP2
IQCG
CISH
MAPKAPK3
NKTR
CCL20
PIKFYVE
SLC35F5
ITGA4
GPR75.ASB3
NDUFS7
GRB14
SPTBN1
EVA1A
WDR75
UNC50
GGCX
CHMP3
FHL2
MLPH
WIPF1
PNO1
PLEK
RND3
PCYOX1
MARK1
RPL22
ERRFI1
TRIM62
WLS
RPE65
OSCP1
CD48
ACTL8
CD46
SLC2A1
ERI3
NSUN4
CNN3
PPP1R8
X02.Mar.1
MLL
CAMSAP2
CREB1
LRMP
CASP8AP2
UBE3D
RAB32
MYB
ALDH8A1
CTGF
MED28
PPL
SET
CNTRL
TRIM32
PPP6C
ZC2HC1C
ATAD2B
BCL11A
AVPI1
MOB3B
LRP11
CXorf21
TNFSF11
ELF1
SMAD9
TGFBI
PTK2B
FAM117A
KIAA0922
ECHDC2
B4GALT4
KHDRBS1
ACVR2A
SASH3
LAX1
KIAA1191
LY9
ANXA11
SMU1
HVCN1
GIPC1
ARHGAP9
NCKAP1L
EXOSC9
RAB38
SDC4
VAPB
PARD6B
WRNIP1
RIOK1
X06.Sep
BMP4
GTF3C4
PPDPF
IL1B
GTF2F1
CLPP
ATG4C
CD70
SNRPD2
CSTL1
BFSP1
DSTN
MRPS26
S1PR4
ST3GAL3
HCST
CCR7
SBDS
ATG14
EVI2A
FAM78A
MACF1
SMARCA4
ASPHD2
MPST
IGLL1
LIF
RIBC2
HOXD10
WDFY4
TTBK2
THAP10
KRI1
ILF3
HEATR5A
ARHGEF6
CBFA2T3
SH3BP4
PVRL2
XPO7
SAFB2
LSM7
SNX9
QRSL1
C6orf203
ACTN4
ARPC1B
SSBP4
GDF15
CAMSAP1
LSP1
PAK4
GMFG
CLIP1
HABP4
SLC35D2
COX4I2
COX7B
GFPT2
C1orf159
TRAF7
NPHP4
IL13RA1
KRT34
RARA
SNRPA1
RHPN2
LGALS3
LRRC41
DHX30
NUP210
COQ3
PNISR
TRIM47
ZRANB2
XAF1
PCBD2
RIN2
IGHMBP2
SERINC3
ALOX5AP
RFXAP
BTBD2
CSNK1G2
GIMAP4
C12orf29
SBF2
ATPBD4
PTPN22
RPS15A
KIAA1468
RBM17
DOCK2
EMP1
RAB33A
X.14
PUM1
YARS
RNF138
TPGS2
OSTF1
ANXA1
MTO1
PHF21A
ATP5G2
CD63
TESPA1
AGAP2
SLC26A10
TEC
GNS
DYNC1LI2
TMEM127
DRAM1
RNASEH2B
TBC1D4
LCP1
SCRN1
TNS3
RAC1
ZDHHC4
NACAD
MYO1G
LIMD2
SKIL
RASSF5
KLF4
FAM129B
SLC2A8
SLC31A1
TEX10
MRPL50
RPL35
MYC
C9orf123
APTX
ALDH1B1
TFAP2A
FCHSD2
CCDC90B
SYTL2
YAP1
UACA
RSL24D1
BCAR3
ARHGAP29
MYOF
LBX1
BTBD16
FASTKD1
ITGAV
DIRC2
HERC5
AGPAT9
BBS7
SCARB2
PPA2
PAPSS1
SLC39A8
PHLDA1
TMTC3
SDSL
N4BP2L1
CERS5
ITGB7
HNRNPA1L2
ESD
SLAIN1
C14orf79
MFAP1
HMG20A
TPM1
ABHD2
ZFHX3
NOL3
ZCCHC14
OSGIN1
GID4
TOM1L1
NPEPPS
SKAP1
TAF4B
RPRD1A
C18orf21
SAT2
PIK3R5
DYM
PPAP2C
VAV1
MYO1F
CARM1
EPHA2
ITGB3BP
SERBP1
CYR61
SLC44A3
CTTNBP2NL
CD53
TUFT1
RAB13
PARP1
PTPN7
GPR17
GULP1
SUMF1
TRPM8
CTDSPL
NCEH1
LPP
VPRBP
EIF2B5
FIP1L1
KLHL8
TIFA
SKP2
PLK2
LHFPL2
TNFAIP8
YIPF5
FBXO38
BOD1
ZMAT2
MUT
DOK3
FAXC
SCML4
SHPRH
WTAP
VIP
C6orf123
ASB15
SH3KBP1
IL2RG
RBMX
MCPH1
FATE1
CCDC25
DOCK5
NFIB
HAUS6
C9orf72
INPP5E
GLUD1
ANKRD1
TAF5
PDCD11
ADM
SLC43A1
ENDOD1
ATM
OCSTAMP
FERMT3
PLCB3
LYPD1
RGS18
PRSS23
C11orf57
NGLY1
TWF1
FAM177A1
KCTD14
NEK7
EPS8
ASAP2
FLI1
ACSL1
CENPJ
BAG3
TMEM56
MGAT5
HSPB8
ATP5A1
HAUS1
C18orf25
TGOLN2
ZNF837
MARVELD2
CAST
PTPRR
TRAPPC8
NMRAL1
ING1
FBXL2
GTF2E1
SREK1
ZUFSP
GRAP
C4orf19
ENAH
MMP21
TMPRSS15
XPC
CXXC1
TTC39B
SAMSN1
GRAMD3
C16orf87
RHOC
SLC7A7
PIK3AP1
ELMO1
SLA
DCK
PCDH1
HKDC1
NPTN
SSBP3
CLDN12
AASDH
MYO1E
C2CD2
MEGF11
CD1A
RNF166
KIAA1967
EPB41
SYNJ1
PTMS
STARD9
UBR1
RLTPR
CCDC28B
ANKLE1
RRP1B
TRAPPC10
MED27
TLCD1
SAFB
RUSC1
FAM189B
LMNA
SQSTM1
MGAT4B
FBXL13
FMNL3
TMEM82
LAPTM5
CAMK2N1
SNX7
GFI1
RBM15
CAPN2
CLHC1
C2orf44
TNFAIP8L2
LYSMD1
S100A11
KBTBD8
TGFBR2
CLASP2
SUCLG1
RPL9
APBB2
SNIP1
DNALI1
LIPH
UBXN7
SGMS2
ZNF589
INTU
HMGB2
NAA15
ABCE1
LSM6
ITGA2
GPX8
CASP3
ERAP1
PAPD4
C7orf60
TAGAP
BRI3
MED30
MICALL2
SNAPC3
PSIP1
PIGA
