ITGA3
TNFRSF12A
TRAF3IP3
ZCCHC8
BCAR1
DCBLD2
NCKAP1
KIF26A
HLTF
ACAP1
ARHGAP15
CTTN
GNA11
GRAMD1A
SH2D3C
MFNG
MANBAL
CORO1A
TJP1
OLFM2
RASAL3
PIK3CG
MET
HOXA2
WASL
SH3D19
EFEMP1
FHL2
ERRFI1
CD48
LRMP
SPINK4
NCKAP1L
SDC4
MTRR
X06.Sep
NT5C
OPRL1
FAM78A
GMFG
SPIRE1
DOCK2
CTSL1
EHF
FAM129B
YAP1
MYOF
IQGAP1
ESCO1
CYR61
CD53
PTPN7
PRSS23
TEX30
FAM177A1
FLI1
DSPP
ELMO1
ANKLE1
PDPN
KCNJ3
RPL22L1
DYNLT3
GTF2A1
A2ML1
KATNAL2
HRASLS5
PPIC
TM4SF1
FAM174A
NT5DC1
NQO1
OR4A16
P2RY8
IKZF1
C7orf61
ARHGAP30
SPIN4
ZKSCAN4
FBXL22
HIST1H2BH
PARVA
NRAP
S100A6
SNHG12
RCSD1
