TSPAN6
ITGA3
TNFRSF12A
TRAF3IP3
ZCCHC8
BCAR1
DCBLD2
NCKAP1
KIF26A
HLTF
ACAP1
ARHGAP15
CTTN
GNA11
GRAMD1A
MFNG
SAMM50
FAM118A
MANBAL
CORO1A
TJP1
OLFM2
RASAL3
PIK3CG
MET
HOXA2
WASL
SH3D19
EFEMP1
FHL2
CHD5
ERRFI1
CD48
SPINK4
NCKAP1L
SDC4
MTRR
X06.Sep
NT5C
OPRL1
FAM78A
GMFG
SLC7A10
SPIRE1
DOCK2
CTSL1
UGT2A3
EHF
FAM129B
YAP1
MYOF
IQGAP1
ESCO1
CYR61
CD53
PRSS23
TEX30
FAM177A1
DSPP
PI4K2A
ELMO1
CLDN12
PDPN
HENMT1
KCNJ3
CCT3
RPL22L1
DYNLT3
GTF2A1
A2ML1
KATNAL2
HRASLS5
PPIC
TM4SF1
FAM174A
NT5DC1
OR4A16
P2RY8
NEB
CIB1
IKZF1
C7orf61
ARHGAP30
SPIN4
ZKSCAN4
CPNE4
SLC22A25
FBXL22
HIST1H2BH
PARVA
NRAP
S100A6
SNHG12
RCSD1
