0
TIAL1
LRIT2
ERBB3
UCK2
CTSA
FRA10AC1
CCT3
RHOC
NOP58
DEXI
AMBN
ATOX1
MED15
TMEM159
C19orf54
RASGEF1A
TTPAL
PLAGL1
FAM98B
ECH1
FAM199X
MNF1
HOMER1
HPS5
NCL
KHDRBS2
EEPD1
TESK2
PTGES3L.AARSD1
ZNF142
EPS8L1
CBLC
PHIP
NFKBIA
MRC2
ZNF598
NDUFAF1
ACBD6
OR8B4
KIAA0319L
