Sample Name,COSMIC identifier
GP5d,907291
HCC2998,905971
HCC-56,1290907
HCT-116,905936
HCT-15,905937
HT-115,907289
HT-29,905939
HT55,907287
KM12,905989
LoVo,907790
LS-1034,917486
LS-123,907792
LS-180,998189
LS-411N,907794
LS-513,907795
MDST8,1240173
NCI-H630,908482
NCI-H716,908458
NCI-H747,908457
RCM-1,909263
RKO,909698
SK-CO-1,909718
SNU-1040,1659823
SNU-175,1659928
SNU-407,1660034
SNU-61,1660035
SNU-81,1660036
SNU-C1,910905
SNU-C2B,909740
SNU-C5,1674021
SW1116,909746
SW1417,909747
SW1463,909748
SW48,909751
SW837,909755
SW948,909757
T84,909761
C3A,910850
Hep 3B2_1-7,1240147
HLE,907057
huH-1,1298146
HuH-7,907071
JHH-1,1298151
JHH-6,1240159
JHH-7,1240160
SK-HEP-1,909719
SNU-182,1240216
SNU-387,909736
SNU-398,1240217
SNU-423,909737
SNU-449,909738
SNU-475,909739
23132-87,910924
AGS,906790
ECC10,906848
ECC12,906849
FU97,1290806
GCIY,906869
GT3TKB,907041
HGC-27,907055
Hs746T,1240151
HSC-39,1322224
IM-95,1240155
KATOIII,907276
MKN1,908138
MKN28,908139
MKN45,925340
MKN7,924250
NCI-N87,908461
NCI-SNU-1,908444
NCI-SNU-16,908446
NCI-SNU-5,908445
NUGC-3,908455
NUGC-4,1298357
OCUM-1,1298358
RERF-GC-1B,1240209
RF-48,909697
SCH,909711
SK-GT-2,1503364
TGBC11TKB,909770
SW13,909744
769-P,910922
786-0,905947
A498,905948
A704,910920
ACHN,905950
BB65-RCC,753533
BFTC-909,910698
CAKI-1,905963
CAL-54,910952
G-401,907299
HA7-RCC,753558
KMRC-1,1298168
KMRC-20,1298169
LB1047-RCC,753577
LB2241-RCC,753578
LB996-RCC,753585
NCC010,1509073
NCC021,1509074
OS-RC-2,909250
RCC10RGB,909974
RCC-AB,1524418
RCC-ER,1524417
RCC-FG2,1524414
RCC-JW,1524416
RCC-MF,1524419
RXF393,905978
SN12C,905979
TK10,905980
U031,905981
VMRC-RCZ,909781
201T,1287381
A549,905949
ABC-1,906791
Calu-3,687777
Calu-6,724859
COR-L105,906805
EKVX,905970
EMC-BAC-1,1503369
EMC-BAC-2,1503370
H3255,1247873
HCC-44,1240145
HCC-78,1290908
HCC-827,1240146
LC-2-ad,907786
LXF-289,753592
NCI-H1355,724866
NCI-H1395,684681
NCI-H1435,1298347
NCI-H1563,753600
NCI-H1568,1298348
NCI-H1573,908472
NCI-H1623,687798
NCI-H1648,687799
NCI-H1650,687800
NCI-H1651,910900
NCI-H1666,908473
NCI-H1693,687802
NCI-H1703,908474
NCI-H1734,722058
NCI-H1755,908475
NCI-H1781,1298350
NCI-H1792,724868
NCI-H1793,908463
NCI-H1838,687807
NCI-H1944,1240185
NCI-H1975,924244
NCI-H1993,908476
NCI-H2009,724873
NCI-H2023,1240187
NCI-H2030,722045
NCI-H2085,687812
NCI-H2087,724834
NCI-H2122,722046
NCI-H2228,687816
NCI-H2291,724874
NCI-H23,905942
NCI-H2342,687819
NCI-H2347,687820
NCI-H2405,687821
NCI-H292,753604
NCI-H3122,1240190
NCI-H322M,905967
NCI-H358,908465
NCI-H441,908460
NCI-H522,905944
NCI-H596,908459
NCI-H650,722066
NCI-H838,910399
PC-14,753608
RERF-LC-KJ,1298537
RERF-LC-MS,910931
SK-LU-1,909721
SW1573,724878
NCI-H720,687600
NCI-H727,724855
NCI-H835,753607
UMC-11,909779
COR-L23,687780
HOP-92,905973
IA-LM,910779
LCLC-103H,753586
LCLC-97TM1,946361
LU-65,724863
LU-99A,907796
NCI-H1155,908467
NCI-H1299,724831
NCI-H1581,908471
NCI-H1915,1240184
NCI-H661,687829
NCI-H810,925341
A427,910851
BEN,753534
CAL-12T,753540
ChaGo-K-1,687596
HCC-366,1240144
NCI-H1770,687804
NCI-H2110,1298351
NCI-H2135,1298352
NCI-H2172,1298353
NCI-H2444,1298356
NCI-H647,1240191
EBC-1,753554
EPLC-272H,753556
HARA,1240142
HCC-15,1240143
KNS-62,753569
LC-1-sq,1298223
LK-2,687787
LOU-NH91,1298226
NCI-H1869,1240183
NCI-H2170,687815
NCI-H226,905941
NCI-H520,908443
RERF-LC-Sq1,1298538
SK-MES-1,909728
SW900,724879
COR-L321,1322213
COLO-668,910692
COR-L279,910937
COR-L303,1297438
COR-L311,687980
COR-L32,1322212
COR-L88,906808
CPC-N,753547
DMS-114,687983
DMS-273,687985
DMS-53,907295
IST-SL1,753564
IST-SL2,753565
LB647-SCLC,753582
LU-134-A,753588
LU-135,713899
LU-139,713878
LU-165,753589
MS-1,753594
NCI-H1048,687995
NCI-H1092,687997
NCI-H1105,908468
NCI-H1341,1330964
NCI-H1417,688001
NCI-H1436,908469
NCI-H146,910899
NCI-H1688,1298349
NCI-H1694,688006
NCI-H1836,1240182
NCI-H187,688007
NCI-H1876,1330972
NCI-H196,1240186
NCI-H1963,688010
NCI-H2029,688011
NCI-H2066,1330973
NCI-H209,688013
NCI-H211,1240189
NCI-H2141,688014
NCI-H2196,908481
NCI-H2227,688018
NCI-H250,924241
NCI-H345,688021
NCI-H378,688022
NCI-H446,688023
NCI-H510A,753605
NCI-H524,908483
NCI-H526,688025
NCI-H64,688026
NCI-H69,688027
NCI-H748,909194
NCI-H82,688031
NCI-H841,1240192
NCI-H847,1240193
SBC-1,713885
SBC-3,753610
SBC-5,713880
H2369,1290808
H2373,1290809
H2461,1290810
H2591,1240131
H2595,1240132
H2722,1290812
H2731,1240134
H2795,1290813
H2803,1240135
H2804,1240136
H2810,1240137
H2818,1290814
H2869,1240138
H290,1240139
H513,1240141
IST-MES1,907173
MPP-89,908150
MSTO-211H,908152
NCI-H2052,688058
NCI-H2452,908462
NCI-H28,908470
42-MG-BA,687561
8-MG-BA,687562
A172,687563
AM-38,910933
Becker,906746
CAS-1,910943
CCF-STTG1,906823
D-247MG,946367
D-263MG,946368
D-336MG,946369
D-392MG,946370
D-502MG,946373
D-542MG,753549
D-566MG,946377
DBTRG-05MG,906835
DK-MG,906839
GAMG,906868
GB-1,687568
GI-1,906871
GMS-10,906873
H4,907042
Hs683,1240150
KALS-1,907271
KINGS-1,907279
KNS-42,907282
KNS-81-FD,924188
KS-1,907313
LN-18,1240168
LN-229,1240169
LN-405,910694
LNZTA3WT4,1240170
M059J,949094
MOG-G-CCM,908144
MOG-G-UVW,908145
NMC-G1,908449
no-10,908452
no-11,908450
SF126,909712
SF268,905986
SF295,905985
SF539,905984
SK-MG-1,909729
SNB75,905982
SW1088,909745
SW1783,909750
T98G,687586
U-118-MG,687588
U251,905983
U-87-MG,687590
YH-13,909905
YKG-1,687592
D-283MED,906834
Daoy,906833
ONS-76,909248
PFSK-1,683667
BE2-M17,753616
CHP-126,910567
CHP-134,910941
CHP-212,906820
GI-ME-N,906872
GOTO,906875
IMR-5,907170
KELLY,753618
KP-N-YN,907314
LAN-6,949170
MHH-NB-11,908135
NB(TU)1-10,1240181
NB1,949179
NB10,949171
NB12,949172
NB13,949177
NB14,949178
NB17,949175
NB5,949176
NB6,949173
NB69,908440
NB7,949174
NH-12,908447
SIMA,753620
SK-N-AS,724828
SK-N-DZ,688086
SK-N-FI,688087
SK-N-SH,717431
TGW,910780
AsPC-1,910702
BxPC-3,906693
CAPAN-1,753624
Capan-2,910915
CFPAC-1,906821
DAN-G,1290797
HPAC,1298136
HPAF-II,724869
Hs766T,1298141
HuP-T3,907285
HuP-T4,907286
KP-1N,1298216
KP-3,1298219
KP-4,753572
MIA-PaCa-2,724870
MZ1-PC,753595
PANC-02-03,1298475
PANC-03-27,925346
PANC-04-03,1298476
PANC-08-13,925347
PANC-10-05,925348
PA-TU-8902,1298526
PA-TU-8988T,1240201
PL18,1240208
PL4,1298533
PSN1,910546
QGP-1,1298534
SU8686,1240218
SUIT-2,1240219
SW1990,910907
YAPC,909904
451Lu,1287706
A101D,910921
A2058,906792
A375,906793
C32,906830
CHL-1,910853
COLO-679,906818
COLO-792,906814
COLO-800,906813
COLO-829,687448
CP50-MEL-B,753545
CP66-MEL,753546
G-361,906865
GAK,910932
G-MEL,1240130
HMV-II,907058
Hs940-T,1298145
HT-144,907067
IGR-1,907169
IGR-37,1240153
IPC-298,907171
IST-MEL1,907172
LB2518-MEL,753579
LB373-MEL-D,753581
LOXIMVI,905974
M14,905975
MEL-HO,908124
MEL-JUSO,908125
Mewo,908128
MMAC-SF,925339
MZ2-MEL,971777
MZ7-mel,753596
RPMI-7951,910903
RVH-421,909706
SH-4,909713
SK-MEL-1,909723
SK-MEL-2,905955
SK-MEL-24,909725
SK-MEL-28,905954
SK-MEL-3,909724
SK-MEL-30,909726
SK-MEL-31,909727
SK-MEL-5,905956
UACC-257,905977
UACC-62,905976
WM-115,909784
WM1552C,1299078
WM278,1240226
WM35,1299080
WM793B,1299081
A388,910697
A431,910925
DJM-1,906841
HT-1080,907064
SW684,909754
A204,910784
A673,684052
KYM-1,1240166
RD,909264
RH-1,971773
RH-18,971774
RH-41,1240210
SJRH30,909716
TE-441-T,924248
G-402,907298
GCT,906999
MFH-ino,925343
SK-LMS-1,909720
SK-UT-1,909732
SW872,909756
SW982,909759
VA-ES-BJ,688121
8305C,906795
8505C,924102
ASH-3,1290722
BCPAP,924104
BHT-101,906696
CAL-62,906828
CGTH-W-1,910568
FTC-133,906864
HTC-C3,924151
IHH-4,1240154
K5,924238
ML-1,1240178
RO82-W-1,930083
TT,930299
TT2609-C02,1240223
5637,687452
639-V,906798
647-V,906797
BFTC-905,910926
CAL-29,1290730
DSH1,753552
HT-1197,907065
HT-1376,907066
J82,753566
KU-19-19,907312
LB831-BLC,753584
RT-112,909704
RT4,687455
SW1710,909749
SW780,687457
T-24,724812
TCCSUP,687459
UM-UC-3,724838
VM-CUB-1,909780
C-33-A,687505
C-4-I,687506
CAL-39,924107
Ca-Ski,906824
DoTc2-4510,906843
HeLa,1298134
HT-3,907068
ME-180,687514
MS751,1240179
SiHa,930297
SISO,1240212
SKG-IIIa,930298
SW756,724839
TC-YIK,946357
AN3-CA,910781
COLO-684,910691
EN,1240127
ESS-1,907000
HEC-1,907051
KLE,924187
MFE-280,908129
MFE-296,908130
MFE-319,1240174
SNG-M,909735
A2780,906804
Caov-4,949090
EFO-21,911905
EFO-27,906852
ES-2,1240128
