"","statistic","p.value","method","alternative","p.adj","NaN.","tempor"
"108",29011,0.0141591340510603,"Wilcoxon rank sum test with continuity correction","two.sided",0.0184068742663784,4.88536790861394,"Olaparib"
"109",17726,3.14988478653357e-19,"Wilcoxon rank sum test with continuity correction","two.sided",1.05296148578408e-18,NA,"FK866"
"110",35599,0.178065118952241,"Wilcoxon rank sum test with continuity correction","two.sided",0.196543574692568,-2.07123103642603,"SB.505124"
"111",46738,7.68602435516435e-15,"Wilcoxon rank sum test with continuity correction","two.sided",2.09131360361449e-14,NA,"SGC0946"
"112",26950,0.000270360728845003,"Wilcoxon rank sum test with continuity correction","two.sided",0.000410807860712537,NA,"AG.014699"
"113",8937,9.71267550420681e-45,"Wilcoxon rank sum test with continuity correction","two.sided",1.89397172332033e-43,NA,"TW.37"
"114",19472,1.77546483762511e-15,"Wilcoxon rank sum test with continuity correction","two.sided",4.94593776195566e-15,NA,"XAV.939"
"115",28804,0.0100933215726345,"Wilcoxon rank sum test with continuity correction","two.sided",0.0132687485842498,2.26675583451753,"PF.4708671"
"116",11278,7.33804013329488e-37,"Wilcoxon rank sum test with continuity correction","two.sided",1.07318836949438e-35,NA,"SN.38"
"117",0,1.90092115370723e-119,"Wilcoxon rank sum test with continuity correction","two.sided",2.22407774983745e-117,-1,"kmeansGdsc.cluster"
