LASP1
KDM1A
CX3CL1
RHBDF1
PSMB1
MRC2
PTBP1
TMEM159
FHL1
NUP160
SKIV2L2
STAU2
ZIC2
GOPC
R3HDM1
MRTO4
NOP58
ZNF280C
CTSA
WDR18
ERBB3
TMEM206
DIP2B
ZNRD1
KIF2A
NUCKS1
TESK2
PDCD2
NDE1
SCARB1
MARK3
FMO4
ANKRD13A
PAG1
TYR
TP53INP2
DUSP12
CD82
BCORL1
SEH1L
DIMT1
TFAP2C
RFX2
KHSRP
C20orf26
TEKT2
CDC5L
CDC7
HNRNPM
PACSIN2
PRMT5
CEP128
KIAA0247
ZMYND8
ARFGAP1
EEA1
MEDAG
ZNF423
USP31
PIH1D1
SF3A2
ISYNA1
TMEM59L
WDR91
COBL
FUBP3
TRDMT1
NPM3
CUEDC2
SLC6A4
MANBA
GAR1
CRYAB
CPT1A
RNGTT
FANCE
RNF8
BAG2
KHDRBS2
E2F3
WASF1
VNN2
MDFI
BYSL
GHR
TCERG1
NCL
ELMOD3
ORC2
SUMO1
FARSB
EBNA1BP2
CD3EAP
CASP8AP2
UBE3D
HEATR1
NEK6
IFIT2
RNF2
KHDRBS1
UBL3
NUDT10
NLN
ITIH5
RAB9A
TTPAL
ARFGEF2
ZNFX1
NAGK
SNRPC
MED20
KLHDC3
RIOK1
RPP40
UBA2
PRMT1
FLRT1
DNAJC8
IFI6
KRI1
X.13
PHF10
LSM7
EXOSC2
ZNF227
DHX30
FCRLA
MYBBP1A
COQ3
PPP1R3D
CCNA1
RNF128
ANKRD32
WDR74
LRRIQ1
LARS
ELP3
CAPRIN1
CD63
CCT7
ACBD6
ITM2C
DNAJB2
ZFP37
PPIL1
TGS1
TMPRSS13
LRRC49
ACTR1A
BBS7
FBN2
GUCD1
RDH16
SERPINA10
IGF1R
SH3GL3
PARN
COPS3
RPL11
KIAA0319L
ITGB3BP
IGSF3
UCK2
PFDN2
XPR1
SETDB1
LBR
SYT2
ALDH1L1
NCEH1
DGKQ
CAMK2D
RPS3A
RPL7L1
IRAK1BP1
MMS22L
PM20D2
RBMX
GSN
RPP30
FRA10AC1
PPRC1
PDCD11
ENDOD1
FADS1
LIX1L
HOMER1
CWC27
TXNDC11
CLGN
SYCP2L
FBXO36
BUB3
PHKG2
DHRS1
TAB3
SKI
GDPD5
GART
PSMD4
AMFR
ZNF222
CBS
U2AF1
PKN3
DUSP14
NUP35
CCDC138
HDAC11
CADPS
UVSSA
INTU
ABCE1
GRPEL2
DNAAF2
OTX2
PDZD8
DDX21
NOLC1
CCT2
C11orf74
TMED3
CENPV
BLCAP
FAM102A
KIAA1586
MLKL
GJB1
RALGAPB
PA2G4
FAM98B
POLR1C
ANO5
PWWP2B
FRMD5
MAL
MANEA
PURG
CCDC41
LRFN4
OR2T1
PLEKHF2
PFAS
SERTAD2
PDXDC1
CCDC149
GLUD2
RPL35A
CNOT10
SLC25A21
RUVBL2
UTP11L
TANGO2
TMEM106A
NLRP9
ARHGAP30
RDM1
TRMT2B
TMEM120A
TDRD7
SUPT3H
IARS
NTNG2
PTPN1
MYL6B
HDAC2
SLC39A10
SVIL
GSTK1
CXorf40A
SLC9A8
MAK16
X05.Mar
TMEM229B
TMA16
FAM169A
FAM5B
BHLHB9
LIPN
PFDN6
