FAM214B
ITGA3
TNFRSF12A
ALDH3B1
RHBDF1
CYTH3
HFE
MVP
GPRC5A
CCDC88C
WWTR1
SAMD4A
VIM
CTNNA1
POLR2B
DTNBP1
VAMP3
BCAR1
FOXC1
DCBLD2
NCKAP1
GPC1
CTSA
SUGP2
SNX24
PTPN21
DAZAP1
ACTN1
PPP2R3A
IGF2BP2
NTN4
NUAK1
SEMA3C
RASAL2
FNDC3B
FOSL2
PLD1
RBMS2
EDN1
ITGB5
SMAP2
CD59
CTTN
EPB41L1
SNX5
KDM2B
PXN
LAMB1
TBC1D2
CDC7
KDELR3
VRK1
NOP56
POLA1
PLS3
CORO1A
GABPB1
TJP1
UBR5
CLASRP
RASAL3
SUGP1
TFPI2
OGDH
CAV2
CAV1
MET
HIBADH
SERPINE1
EZH2
PLEKHA1
DKK1
BLMH
ABCC3
DUSP3
TNFAIP1
SH3D19
CCND1
PRPF19
ARHGEF17
CPSF6
RPS12
AMOTL2
FHL2
RND3
EPAS1
RPL22
ERRFI1
F3
ARID1A
RAB32
MYB
CTGF
LTBP2
AVPI1
RCL1
TGFBI
B4GALT4
KHDRBS1
CXCR4
KIAA1191
CALD1
GIPC1
ARHGAP9
NCKAP1L
PREX1
SDC4
AHNAK
UPF3B
X06.Sep
SLC25A19
RRAS
TRAP1
L3HYPDH
HSPA2
YEATS4
PPAT
KRI1
ACTN4
LAMA5
CLIP1
SLC35D2
LGALS3
NUP210
PNISR
RIN2
VHL
EMP1
X.14
RNF138
ANXA1
NT5E
RAB11FIP5
LAMC1
TMBIM1
TNS3
SRSF1
FAM129B
RPS6
IER3
MDC1
YAP1
THBS1
UACA
BCAR3
ARHGAP29
MYOF
ITGAV
DIRC2
PHLDA1
SDSL
TCHP
HNRNPA1L2
SLAIN1
TGFB1I1
KIFC3
NARF
FKBP10
IFITM3
RPS11
EPHA2
HSPG2
CYR61
RGS16
LBR
GULP1
CTDSPL
NCEH1
LPP
KLHL8
TIFA
RPS3A
OSMR
PLK2
FBXL17
EGFR
ZNF92
NONO
OGT
ZNF711
RBMX
GSN
SLC43A1
SERPINH1
ITGB1
LATS2
PRSS23
DOCK1
CRIM1
QDPR
ASAP2
WWC2
BAG3
CAST
RBMS1
ZDHHC7
RHOC
DCK
SH3RF2
RBPMS
MYO1E
EPB41
PAXBP1
SAFB
LMNA
SQSTM1
SNX7
CAPN2
S100A11
CLDN1
FSTL1
CLASP2
CXCL1
GNL3
SGMS2
ZNF589
CAMKV
HMGB2
ITGA2
GPX8
RAD21
MICALL2
STRBP
UBTD1
HTRA1
PRKCB
CCDC68
NNMT
SMAD3
AXL
C19orf33
EEF2
KRT80
IGFBP6
VASN
RHOH
RAB31
ADAM9
PPIC
PXDC1
ATF5
UGP2
TM4SF1
PUSL1
BCL2
THOP1
LAMB2
GNG12
PHF8
DAG1
MSL2
RPL15
PDIK1L
FOSL1
ATAD5
CLK2
CCDC101
PTRF
CD151
ALS2CL
PLEC
BEND3
NQO1
PHLDA2
ZNF708
EXT1
ANXA2
RBM10
UPP1
MED12
SV2B
AHNAK2
BCL9L
UBE2H
MIR22HG
MAPT
KCNJ11
USP7
IER5L
C22orf34
C15orf52
S100A16
RPL14
BEND4
S100A13
SPATS2L
C20orf96
NACA
HDAC2
ANXA4
LRRC8B
BLM
PARVA
FAM114A1
S100A10
ATAD3A
MYO1C
S100A6
ASPH
PAPSS2
SHISA4
